iter	Passed	Remaining
0	47	47066
1	47	23722
2	47	15905
3	48	11990
4	48	9637
5	48	8068
6	49	6964
7	49	6119
8	49	5462
9	49	4937
10	50	4507
11	50	4158
12	50	3862
13	51	3601
14	52	3420
15	52	3250
16	53	3093
17	54	2952
18	54	2829
19	55	2714
20	55	2602
21	56	2501
22	56	2410
23	57	2325
24	57	2248
25	58	2176
26	58	2109
27	58	2047
28	59	1989
29	59	1934
30	60	1884
31	60	1836
32	61	1791
33	61	1750
34	62	1710
35	62	1672
36	62	1634
37	63	1596
38	63	1560
39	63	1526
40	63	1494
41	64	1462
42	64	1433
43	64	1404
44	64	1377
45	65	1357
46	65	1332
47	65	1308
48	66	1285
49	66	1263
50	66	1242
51	67	1224
52	67	1204
53	67	1185
54	67	1166
55	68	1149
56	68	1132
57	68	1116
58	69	1100
59	69	1085
60	69	1070
61	69	1056
62	70	1042
63	70	1028
64	70	1016
65	70	1003
66	71	990
67	71	978
68	71	966
69	71	954
70	72	943
71	72	932
72	72	922
73	72	912
74	73	902
75	73	893
76	73	885
77	74	876
78	74	867
79	74	858
80	74	849
81	75	841
82	75	832
83	75	824
84	75	816
85	76	808
86	76	800
87	76	792
88	76	785
89	77	778
90	77	772
91	77	765
92	77	759
93	78	752
94	78	746
95	78	740
96	78	734
97	79	728
98	79	722
99	79	717
100	79	711
101	80	705
102	80	699
103	80	694
104	80	689
105	81	684
106	81	678
107	81	674
108	81	669
109	82	664
110	82	660
111	82	655
112	82	651
113	83	647
114	83	642
115	83	637
116	84	634
117	84	629
118	84	626
119	84	622
120	85	618
121	85	614
122	85	609
123	85	605
124	86	602
125	86	598
126	86	594
127	86	590
128	86	586
129	87	583
130	87	580
131	87	576
132	87	573
133	88	570
134	88	566
135	88	563
136	88	560
137	89	557
138	89	554
139	89	551
140	90	548
141	90	545
142	90	543
143	90	540
144	91	537
145	91	535
146	91	532
147	92	530
148	92	527
149	92	524
150	92	522
151	93	519
152	93	517
153	93	515
154	94	512
155	94	510
156	94	508
157	94	505
158	95	503
159	95	501
160	95	499
161	96	497
162	96	495
163	96	492
164	97	490
165	97	488
166	97	486
167	97	484
168	98	482
169	98	481
170	98	479
171	99	477
172	99	476
173	100	474
174	100	473
175	100	471
176	100	469
177	101	468
178	101	466
179	101	464
180	102	462
181	102	460
182	102	458
183	103	456
184	103	455
185	103	453
186	103	451
187	104	450
188	104	448
189	104	446
190	105	445
191	105	443
192	105	442
193	106	440
194	106	438
195	106	437
196	106	435
197	107	434
198	107	432
199	107	431
200	108	429
201	108	428
202	108	426
203	108	425
204	109	423
205	109	422
206	109	420
207	110	419
208	110	418
209	110	416
210	111	415
211	111	414
212	111	412
213	112	411
214	112	410
215	112	408
216	112	407
217	113	406
218	113	404
219	113	403
220	114	402
221	114	401
222	114	399
223	115	398
224	115	397
225	115	396
226	116	395
227	116	393
228	116	392
229	116	391
230	117	390
231	117	388
232	117	387
233	118	386
234	118	385
235	118	384
236	118	383
237	119	381
238	119	380
239	119	379
240	120	378
241	120	377
242	120	376
243	121	375
244	121	374
245	121	373
246	122	372
247	122	370
248	122	369
249	122	368
250	123	367
251	123	366
252	123	365
253	124	364
254	124	363
255	124	362
256	125	362
257	125	361
258	126	360
259	126	359
260	126	358
261	126	357
262	127	356
263	127	355
264	127	354
265	128	353
266	128	352
267	128	351
268	129	351
269	129	350
270	129	349
271	130	348
272	130	347
273	130	346
274	131	345
275	131	344
276	131	343
277	132	343
278	132	342
279	132	341
280	133	340
281	133	339
282	133	338
283	133	337
284	134	336
285	134	335
286	134	335
287	135	334
288	135	333
289	135	332
290	136	331
291	136	330
292	136	329
293	136	328
294	137	328
295	137	327
296	137	326
297	138	325
298	138	324
299	138	323
300	139	323
301	139	322
302	139	321
303	140	320
304	140	320
305	140	319
306	141	318
307	141	318
308	141	317
309	142	316
310	142	315
311	142	314
312	143	314
313	143	313
314	143	312
315	144	311
316	144	311
317	144	310
318	145	309
319	145	308
320	145	308
321	145	307
322	146	306
323	146	305
324	146	304
325	147	304
326	147	303
327	147	302
328	148	302
329	148	301
330	148	300
331	149	299
332	149	299
333	149	298
334	149	297
335	150	296
336	150	296
337	151	295
338	151	295
339	151	294
340	151	293
341	152	292
342	152	292
343	152	291
344	153	290
345	153	290
346	153	289
347	154	289
348	154	288
349	154	287
350	155	286
351	155	286
352	155	285
353	156	284
354	156	284
355	156	283
356	157	282
357	157	282
358	157	281
359	158	280
360	158	280
361	158	279
362	158	278
363	159	278
364	159	277
365	159	276
366	160	276
367	160	275
368	160	275
369	161	274
370	161	274
371	161	273
372	162	272
373	162	272
374	162	271
375	163	270
376	163	270
377	163	269
378	164	269
379	164	268
380	164	267
381	165	267
382	165	266
383	165	266
384	166	265
385	166	264
386	166	264
387	167	263
388	167	262
389	167	262
390	168	261
391	168	261
392	168	260
393	169	259
394	169	259
395	169	258
396	170	258
397	170	257
398	170	256
399	170	256
400	171	255
401	171	255
402	172	254
403	172	254
404	172	253
405	173	253
406	173	252
407	173	252
408	174	251
409	174	251
410	174	250
411	175	249
412	175	249
413	175	248
414	176	248
415	176	247
416	176	247
417	177	246
418	177	245
419	177	245
420	178	244
421	178	244
422	178	243
423	178	243
424	179	242
425	179	241
426	179	241
427	180	241
428	180	240
429	181	239
430	181	239
431	181	238
432	182	238
433	182	237
434	182	237
435	183	236
436	183	236
437	183	235
438	184	235
439	184	234
440	184	234
441	185	233
442	185	233
443	185	232
444	186	232
445	186	231
446	186	231
447	187	230
448	187	230
449	187	229
450	188	228
451	188	228
452	188	227
453	189	227
454	189	226
455	189	226
456	190	225
457	190	225
458	190	224
459	191	224
460	191	223
461	191	223
462	192	222
463	192	222
464	192	221
465	193	221
466	193	220
467	194	220
468	194	220
469	194	219
470	194	218
471	195	218
472	195	217
473	196	217
474	196	217
475	196	216
476	197	216
477	197	215
478	197	215
479	198	214
480	198	214
481	198	213
482	199	213
483	199	212
484	199	212
485	200	211
486	200	211
487	200	210
488	201	210
489	201	209
490	201	209
491	202	208
492	202	208
493	203	208
494	204	208
495	204	207
496	204	207
497	204	206
498	205	205
499	205	205
500	205	204
501	206	204
502	206	203
503	206	203
504	206	202
505	207	202
506	207	201
507	207	201
508	208	200
509	208	200
510	208	199
511	209	199
512	209	198
513	209	198
514	210	197
515	210	197
516	210	197
517	211	196
518	211	196
519	211	195
520	212	195
521	212	194
522	212	194
523	213	193
524	213	193
525	213	192
526	214	192
527	214	191
528	214	191
529	215	190
530	215	190
531	215	189
532	216	189
533	216	188
534	216	188
535	216	187
536	217	187
537	217	186
538	217	186
539	218	185
540	218	185
541	218	184
542	219	184
543	219	183
544	219	183
545	220	183
546	220	182
547	220	182
548	221	181
549	221	181
550	221	180
551	221	180
552	222	179
553	222	179
554	222	178
555	223	178
556	223	177
557	223	177
558	224	176
559	224	176
560	224	175
561	225	175
562	225	174
563	225	174
564	226	174
565	226	173
566	226	173
567	227	172
568	227	172
569	227	171
570	228	171
571	228	170
572	228	170
573	229	170
574	229	169
575	229	169
576	230	168
577	230	168
578	230	167
579	230	167
580	231	166
581	231	166
582	231	165
583	232	165
584	232	164
585	232	164
586	233	164
587	233	163
588	233	163
589	234	162
590	234	162
591	234	161
592	235	161
593	235	160
594	235	160
595	235	159
596	236	159
597	236	159
598	236	158
599	237	158
600	237	157
601	237	157
602	238	156
603	238	156
604	238	155
605	239	155
606	239	154
607	239	154
608	240	154
609	240	153
610	240	153
611	240	152
612	241	152
613	241	151
614	242	151
615	242	151
616	242	150
617	243	150
618	243	149
619	243	149
620	243	148
621	244	148
622	244	148
623	244	147
624	245	147
625	245	146
626	245	146
627	246	145
628	246	145
629	246	144
630	247	144
631	247	144
632	247	143
633	248	143
634	248	142
635	248	142
636	248	141
637	249	141
638	249	140
639	249	140
640	250	140
641	250	139
642	250	139
643	250	138
644	251	138
645	251	137
646	252	137
647	252	137
648	252	136
649	252	136
650	253	135
651	253	135
652	254	134
653	254	134
654	254	134
655	255	133
656	255	133
657	255	132
658	256	132
659	256	132
660	256	131
661	256	131
662	257	130
663	257	130
664	257	129
665	258	129
666	258	129
667	258	128
668	259	128
669	259	127
670	259	127
671	260	126
672	260	126
673	260	126
674	261	125
675	261	125
676	261	124
677	262	124
678	262	124
679	262	123
680	263	123
681	263	122
682	263	122
683	264	122
684	264	121
685	264	121
686	265	120
687	265	120
688	265	119
689	266	119
690	266	119
691	266	118
692	267	118
693	267	117
694	267	117
695	267	117
696	268	116
697	268	116
698	268	115
699	269	115
700	269	114
701	269	114
702	270	114
703	270	113
704	270	113
705	270	112
706	271	112
707	271	112
708	271	111
709	272	111
710	272	110
711	273	110
712	273	110
713	273	109
714	274	109
715	274	108
716	274	108
717	275	108
718	275	107
719	275	107
720	276	106
721	276	106
722	276	106
723	277	105
724	277	105
725	277	104
726	277	104
727	278	103
728	278	103
729	278	103
730	279	102
731	279	102
732	279	101
733	280	101
734	280	101
735	280	100
736	281	100
737	281	99
738	281	99
739	282	99
740	282	98
741	282	98
742	283	97
743	283	97
744	283	97
745	284	96
746	284	96
747	284	96
748	285	95
749	285	95
750	285	94
751	286	94
752	286	94
753	287	93
754	287	93
755	287	92
756	288	92
757	288	92
758	288	91
759	289	91
760	289	90
761	289	90
762	290	90
763	290	89
764	290	89
765	290	88
766	291	88
767	291	88
768	291	87
769	292	87
770	292	86
771	292	86
772	293	86
773	293	85
774	294	85
775	294	85
776	294	84
777	295	84
778	295	83
779	295	83
780	296	83
781	296	82
782	296	82
783	297	81
784	297	81
785	298	81
786	298	80
787	298	80
788	299	80
789	299	79
790	299	79
791	300	78
792	300	78
793	300	78
794	301	77
795	301	77
796	301	76
797	302	76
798	302	76
799	303	75
800	303	75
801	303	75
802	304	74
803	304	74
804	304	73
805	305	73
806	305	73
807	305	72
808	306	72
809	306	71
810	306	71
811	307	71
812	307	70
813	307	70
814	308	69
815	308	69
816	308	69
817	309	68
818	309	68
819	309	67
820	309	67
821	310	67
822	310	66
823	310	66
824	311	66
825	311	65
826	311	65
827	312	64
828	312	64
829	312	64
830	313	63
831	313	63
832	313	62
833	314	62
834	314	62
835	314	61
836	315	61
837	315	60
838	315	60
839	316	60
840	316	59
841	316	59
842	317	59
843	317	58
844	317	58
845	318	57
846	318	57
847	318	57
848	319	56
849	319	56
850	319	55
851	320	55
852	320	55
853	320	54
854	321	54
855	321	54
856	321	53
857	321	53
858	322	52
859	322	52
860	322	52
861	323	51
862	323	51
863	323	50
864	324	50
865	324	50
866	324	49
867	325	49
868	325	49
869	325	48
870	326	48
871	326	47
872	326	47
873	327	47
874	327	46
875	327	46
876	328	46
877	328	45
878	328	45
879	329	44
880	329	44
881	329	44
882	330	43
883	330	43
884	330	42
885	331	42
886	331	42
887	331	41
888	332	41
889	332	41
890	332	40
891	333	40
892	333	39
893	333	39
894	334	39
895	334	38
896	334	38
897	335	38
898	335	37
899	336	37
900	336	36
901	336	36
902	337	36
903	337	35
904	337	35
905	337	35
906	338	34
907	338	34
908	338	33
909	339	33
910	339	33
911	340	32
912	340	32
913	340	32
914	341	31
915	341	31
916	341	30
917	342	30
918	342	30
919	342	29
920	343	29
921	343	29
922	343	28
923	344	28
924	344	27
925	345	27
926	345	27
927	345	26
928	346	26
929	346	26
930	346	25
931	347	25
932	347	24
933	348	24
934	348	24
935	348	23
936	349	23
937	349	23
938	350	22
939	350	22
940	350	22
941	351	21
942	351	21
943	352	20
944	352	20
945	352	20
946	352	19
947	353	19
948	353	19
949	353	18
950	354	18
951	354	17
952	354	17
953	355	17
954	355	16
955	355	16
956	356	16
957	356	15
958	356	15
959	357	14
960	357	14
961	358	14
962	358	13
963	358	13
964	358	13
965	359	12
966	359	12
967	360	11
968	360	11
969	360	11
970	361	10
971	361	10
972	361	10
973	362	9
974	362	9
975	362	8
976	363	8
977	363	8
978	364	7
979	364	7
980	364	7
981	365	6
982	365	6
983	366	5
984	366	5
985	367	5
986	367	4
987	367	4
988	367	4
989	368	3
990	368	3
991	368	2
992	369	2
993	369	2
994	369	1
995	370	1
996	370	1
997	370	0
998	371	0
999	371	0
