iter	Passed	Remaining
0	46	46536
1	47	23471
2	47	15749
3	47	11884
4	48	9555
5	48	8001
6	48	6891
7	48	6059
8	49	5414
9	49	4898
10	49	4477
11	50	4125
12	50	3825
13	50	3568
14	50	3344
15	51	3148
16	51	2975
17	51	2821
18	51	2684
19	52	2560
20	52	2447
21	52	2348
22	53	2256
23	53	2171
24	53	2092
25	53	2020
26	54	1952
27	54	1890
28	54	1831
29	55	1796
30	55	1745
31	56	1699
32	56	1654
33	56	1611
34	57	1573
35	57	1539
36	57	1502
37	58	1472
38	58	1439
39	58	1408
40	58	1379
41	59	1351
42	59	1327
43	59	1301
44	60	1276
45	60	1253
46	60	1231
47	60	1209
48	61	1189
49	61	1169
50	61	1151
51	62	1134
52	62	1118
53	62	1103
54	63	1088
55	63	1074
56	64	1064
57	65	1059
58	65	1046
59	65	1032
60	66	1019
61	66	1006
62	66	993
63	67	981
64	67	975
65	68	964
66	68	954
67	68	945
68	69	935
69	69	924
70	69	915
71	70	905
72	70	895
73	70	886
74	71	877
75	71	868
76	71	859
77	72	851
78	72	843
79	72	835
80	72	827
81	73	820
82	73	810
83	73	803
84	74	796
85	74	790
86	74	783
87	74	777
88	75	770
89	75	765
90	75	759
91	76	753
92	76	748
93	77	743
94	77	737
95	77	733
96	78	728
97	78	724
98	79	719
99	79	714
100	79	709
101	80	705
102	80	700
103	80	695
104	81	691
105	81	687
106	81	684
107	82	680
108	82	676
109	83	671
110	83	667
111	83	663
112	84	660
113	84	657
114	84	653
115	85	649
116	85	645
117	85	641
118	86	640
119	86	636
120	87	633
121	87	629
122	87	626
123	88	623
124	88	620
125	88	617
126	89	613
127	89	609
128	89	606
129	90	604
130	90	601
131	91	599
132	91	597
133	92	595
134	92	592
135	92	589
136	93	587
137	93	585
138	94	582
139	94	579
140	94	577
141	94	573
142	95	571
143	95	569
144	96	566
145	96	564
146	96	561
147	97	559
148	97	557
149	97	555
150	98	552
151	98	550
152	99	548
153	99	546
154	99	544
155	100	541
156	100	540
157	101	538
158	101	536
159	101	534
160	102	531
161	102	529
162	102	527
163	103	525
164	103	523
165	104	522
166	104	522
167	105	520
168	105	518
169	105	516
170	106	514
171	106	512
172	106	511
173	107	509
174	107	507
175	108	510
176	109	508
177	109	506
178	110	505
179	110	504
180	110	502
181	111	500
182	111	498
183	112	497
184	112	495
185	112	493
186	113	491
187	113	490
188	113	488
189	114	487
190	114	485
191	114	483
192	115	481
193	115	480
194	116	479
195	116	477
196	116	475
197	117	474
198	117	472
199	117	471
200	118	469
201	118	468
202	118	466
203	119	466
204	119	464
205	120	463
206	120	462
207	121	461
208	121	460
209	122	459
210	122	458
211	122	456
212	123	455
213	124	455
214	124	454
215	124	453
216	125	451
217	125	450
218	125	449
219	126	447
220	126	446
221	127	445
222	127	444
223	127	442
224	128	441
225	128	440
226	129	439
227	129	438
228	129	436
229	130	435
230	130	434
231	130	433
232	131	432
233	131	431
234	132	430
235	132	429
236	132	428
237	133	426
238	133	425
239	134	424
240	134	423
241	134	422
242	135	420
243	135	419
244	135	419
245	136	417
246	136	416
247	137	415
248	137	414
249	137	413
250	138	412
251	138	412
252	139	411
253	139	410
254	140	410
255	140	409
256	141	408
257	141	407
258	142	406
259	142	405
260	142	404
261	143	403
262	143	402
263	144	401
264	144	400
265	144	399
266	145	398
267	145	397
268	145	396
269	146	395
270	146	394
271	146	393
272	147	392
273	147	391
274	147	390
275	148	389
276	148	388
277	149	387
278	149	386
279	149	385
280	150	384
281	150	383
282	150	382
283	151	381
284	151	380
285	152	379
286	152	378
287	152	377
288	153	377
289	153	376
290	154	375
291	154	374
292	155	374
293	155	373
294	155	372
295	156	371
296	156	371
297	157	370
298	157	369
299	158	368
300	158	367
301	158	367
302	159	366
303	159	365
304	159	364
305	160	363
306	160	362
307	161	361
308	161	360
309	161	360
310	162	359
311	162	358
312	162	357
313	163	356
314	163	355
315	163	354
316	164	354
317	164	353
318	165	352
319	165	351
320	165	350
321	166	349
322	166	349
323	166	348
324	167	347
325	167	346
326	168	346
327	168	345
328	168	344
329	169	343
330	169	342
331	170	342
332	170	341
333	170	340
334	171	339
335	171	338
336	171	337
337	172	337
338	172	336
339	172	335
340	173	334
341	173	333
342	173	333
343	174	332
344	174	331
345	175	330
346	175	330
347	175	329
348	176	328
349	176	327
350	176	327
351	177	326
352	177	326
353	178	325
354	178	324
355	178	323
356	179	323
357	179	322
358	180	321
359	180	321
360	180	320
361	181	319
362	181	318
363	182	318
